id,sale
3000888,448.07175
3000889,465.6741
3000890,477.68155
3000891,480.77597
3000892,479.27594
3000893,476.7808
3000894,474.93985
3000895,474.28357
3000896,474.4454
3000897,474.88464
3000898,475.24347
3000899,475.402
3000900,475.40158
3000901,475.33328
3000902,475.26712
3000903,475.23242
3000904,475.22742
3000905,475.23734
3000906,475.24908
3000907,475.25616
3000908,475.2581
3000909,475.25687
3000910,475.2549
3000911,475.25345
3000912,475.253
3000913,475.2531
3000914,475.2534
3000915,475.2536
3000916,475.2537
3000917,475.25372
3000918,475.2537
3000919,475.25363
3000920,475.2536
3000921,475.2536
3000922,475.25363
3000923,475.25363
3000924,475.25363
3000925,475.2536
3000926,475.2536
3000927,475.25363
3000928,475.25363
3000929,475.25363
3000930,475.2536
3000931,475.2536
3000932,475.25363
3000933,475.25363
3000934,475.25363
3000935,475.2536
3000936,475.2536
3000937,475.25363
3000938,475.25363
3000939,475.25363
3000940,475.2536
3000941,475.2536
3000942,475.25363
3000943,475.25363
3000944,475.25363
3000945,475.2536
3000946,475.2536
3000947,475.25363
3000948,475.25363
3000949,475.25363
3000950,475.2536
3000951,475.2536
3000952,475.25363
3000953,475.25363
3000954,475.25363
3000955,475.2536
3000956,475.2536
3000957,475.25363
3000958,475.25363
3000959,475.25363
3000960,475.2536
3000961,475.2536
3000962,475.25363
3000963,475.25363
3000964,475.25363
3000965,475.2536
3000966,475.2536
3000967,475.25363
3000968,475.25363
3000969,475.25363
3000970,475.2536
3000971,475.2536
3000972,475.25363
3000973,475.25363
3000974,475.25363
3000975,475.2536
3000976,475.2536
3000977,475.25363
3000978,475.25363
3000979,475.25363
3000980,475.2536
3000981,475.2536
3000982,475.25363
3000983,475.25363
3000984,475.25363
3000985,475.2536
3000986,475.2536
3000987,475.25363
3000988,475.25363
3000989,475.25363
3000990,475.2536
3000991,475.2536
3000992,475.25363
3000993,475.25363
3000994,475.25363
3000995,475.2536
3000996,475.2536
3000997,475.25363
3000998,475.25363
3000999,475.25363
3001000,475.2536
3001001,475.2536
3001002,475.25363
3001003,475.25363
3001004,475.25363
3001005,475.2536
